a	Letter	"To see the letter ""A"" in your dream represents the beginning of a new stage."											
abacus	Machine	To see or use an abacus in your dream refers to your outdated views.											
abalone	Invertebrate	To see or eat abalone in your dream indicates a transitional period in your life.											
abandonment	Action	To dream that you are abandoned suggests that it is time to leave behind past feelings and characteristics that are hindering your growth.											
abbey	Building	"To see an abbey in your dream signifies spirituality, peace of mind and freedom from anxiety."	To see an abbey in ruins indicates feelings of hopelessness.										
waterfall	Unknown	To see a waterfall in your dream is symbolic of letting go.	To dream that you are at the bottom of the waterfall suggests that you are feeling emotionally overwhelmed.										
watermelon	Food	"To see a watermelon in you dream represents emotions of love, desire, lust, and fiery passion."											
watermill	Unknown	To see a watermill in your dream suggests that you need to take advantage of the resources that are available to you.											
waterslide	Unknown	To dream that you are on or see a waterslide suggests that you are being carried away by your emotions.											
wave	Action	"To see clear, calm waves in your dream, signify renewal and clarity."	To hear waves crashing in your dream indicates tenderness and relaxation.	"To see muddy, violent waves in your dream indicate a fatal error in an important decision."									
waving	Unknown	To dream that you are waving to someone represents your connection to that person.											
wax	Substance	To see wax in your dream indicates that there is too much activity going on in your life.	To see dripping wax in your dream represents your hidden passionate emotions and spiritual cleansing.										
way	Action	To dream that you lose your way signifies the threat of failure in your endeavor.	To dream that you are finding your way represents the decisions and choices that you need to make in your waking life.										
weak	Unknown	To dream that you are weak refers to your feelings of inadequacy.											
weapon	Weapon	To see or hold a weapon in your dream indicates a need to defend and protect yourself emotionally and/or physically.											
weasel	Animal	To see a weasel in your dream represents your lack of trust in others.											
weather	Unknown	To dream about the weather signifies your emotional state of mind.	To dream that the weather is ever-changing signify the passage of time.	To dream that you are reading the weather report means that you are about to make some major move.									
weather_vane	Tool	To see a weather vane in your dream indicates unpredictability and versatility.											
weaving	Activity	To dream that you are weaving something suggests that you are trying to piece together some information.											
web	Body_Part	To see a web in your dream represents your desire to control everything around you.											
web_cam	Unknown	To dream that you are on a web cam suggests that there is a message or concept that you are trying to convey to a large network of people.											
wedding	Activity	To see a wedding in your dream symbolizes a new beginning or transition in your current life.											
wedding_cake	Substance	To see or cut wedding cake in your dream symbolizes harmony and domestic bliss.	To eat a wedding cake in your dream signifies your sensuality.										
wedding_dress	Unknown	To wear a wedding dress in your dream indicates that you are evaluating and assessing your personal relationship.											
wedding_rehearsal	Unknown	To dream that you are in a wedding rehearsal implies that you need to prepare yourself for an important transition in your life.											
wedding_ring	Unknown	To see a wedding ring in your dream represents completeness and eternal love.	To dream that you lose your wedding ring signifies a problem or unresolved issue in your marriage.										
wedge	Tool	To see a wedge in your dream symbolizes support and your ability to ask for help when you need it.											
wedlock	Unknown	"To dream of a marriage signifies commitment, harmony or transitions."	To dream of a proposal of marriage suggests that some situation will take a turn for the worse.	To dream that you are in an arranged marriage suggests that you are feeling forced to do something you do not want to do.									
wednesday	Unknown	To dream about Wednesday indicates that you are in misery or agony over something.											
weed	Substance	"To see weeds in your dream indicate that you are feeling neglected, overshadowed or cast to the side."											
week	Unknown	To dream about the week signifies your sense of time management.											
weeping	Unknown	To dream that you are weeping indicates some deep sadness in your waking life.											
weevil	Invertebrate	To see a weevil in your dream signifies losses and deception.											
weighing	Unknown	To dream that you are weighing something indicates that you are trying to determine the worth of something.											
weight	Unknown	"To dream of your own weight represents your self-worth, self-esteem, influence or power of persuasion."	To dream that you are losing weight indicates that you are no longer being weighed down by some responsibility or emotional burden.	To dream that you are overweight or that you are gaining weight suggests that you are feeling over-burdened and pressured.									
weightlifter	Person	To see a weightlifter in your dream indicates that you need to hone your sense of power and use that power to your advantage.											
welding	Action	"To dream that you are welding something suggests that you need to incorporate some behavior, habit, or character into your life."											
welfare	Activity	To dream that you are on welfare indicates that you are feeling shameful of your life circumstances.											
well	Structure	To see a well in your dream represents your hidden abilities and talents that have not yet come to the surface or not yet recognized.	To dream that you fall into the well indicates losing emotional control.	To dream that the well is dry suggests that there is an emotional void in your life.									
werewolf	Unknown	To see a werewolf in your dream indicates that something in your life is not what it seems.	To dream that you are a werewolf suggests that some aspects of your personality are hurtful and even dangerous to your own well-being.										
west	Place	"To dream of going west represents fulfillment, opportunities, and growth."											
wet	Unknown	To dream that you are wet indicates that you are overcome with emotions.											
wet_nurse	Person	To see or have a wet nurse in your dream refers to your inability to provide for your family.	To dream that you are a wet nurse suggests that you need to be careful in who you trust and who you confide in.										
wet_suit	Unknown	To see or wear a wet suit in your dream suggests that you are slowly and safely exploring your inner feelings and emotions.											
whale	Animal	To see a whale in your dream represents your intuition and awareness.	To dream that a whale is flying symbolizes an enormous sense of freedom from letting down your emotional wall.	To see only the tail of a whale in your dream indicates that you are emotionally balanced.									
wheat	Food	To see grains of wheat in your dream indicate prosperity and abundance.	To see a field of wheat in your dream signifies success in your goals.										
wheel_of_fortune	Unknown	To dream of a wheel of fortune suggests that you are leaving too much to chance.											
wheelbarrow	Conveyance	"To see or use a wheelbarrow in your dream represents hard work, labor, and difficulty."											
wheel	Conveyance	To see spinning wheels in your dream signify completion or continuation of a familiar situation.											
whip	Action	"To see a whip in your dream signifies punishment, unhappiness shame and guilt."											
whiplash	Action	To dream that you have whiplash indicates that you are butting heads with someone in your waking life.											
whipped_cream	Unknown	"To see or eat whipped cream in your dream symbolizes joy, light hearted fun, and pleasure."											
whipping_boy	Person	To see a whipping boy in your dream suggests that you are doing harm to yourself with your reckless behaviors and activities.											
whirlpool	Event	To see a whirlpool in your dream signifies emotional turmoil.											
whirlwind	Unknown	"To dream that you are in the path of a whirlwind signifies big changes ahead which may lead to loss, chaos and scandal."											
whisk	Tool	To see or use a whisk in your dream points to a situation that requires swift action and quick decision.											
whisker	Body_Part	To see or have whiskers in your dream indicate that you are still trying to feel out some situation.											
whisky	Food	"To see whisky bottles in your dream symbolize your alertness, carefulness and protective nature."	To dream that you are drinking whisky suggests that your selfishness will cost you your friends.										
whispering	Event	To hear whispering in your dream suggests that you need to pay closer attention to something or listen to someone more carefully.	To dream that you are whispering indicates that you are lacking conviction in what you are saying.	To dream that someone is whispering in your ear suggests that you need to pay closer attention to something or listen to someone more carefully.									
whistle	Musical_Instrument	To hear a whistle in your dream represents a warning.											
white_moth	Unknown	To see a white moth in your dream forewarns of sickness and possibly death.											
white_house	Building	To see the White House in your dream represents your own personal feelings about the US government and its legislation.											
whiteout	Unknown	To see or use whiteout in your dream indicates that there is something that you are suppressing.											
whore	Person	To dream that you are a prostitute indicates your desires for more sexual freedom/expression and sexual power.	To see or dream that you are with a prostitute suggests that you are feeling sexually deprived or needy.										
wife	Person	To see your wife in your dream signifies discord and unresolved issues.	To dream about your husband's deceased wife suggests that you are trying to connect with your husband in the same way that she connected with him.										
wife_swapping	Unknown	To dream about wife swapping suggests that you want to add some spice to your sex life.											
wig	Unknown	"To dream that you are wearing a wig symbolizes deception, incompetence, false impressions, pretentiousness and falsehood."	To dream that you lose a wig indicates that you have completely lost your mind.										
wild	Place	To see something wild in your dream represents the uninhibited and animalistic aspect of your personality.											
wild_hog	Unknown	"To see a wild hog in your dream symbolizes ferocity, strength, and courage."	To dream that you are hunting a wild hog indicates your need for some balance in your life.										
wildcat	Animal	To see a wildcat in your dream represents the feminine aspects which you have neglected or overlooked.											
wildebeest	Animal	To see a wildebeest in your dream indicates a lack of control in your life.											
wilderness	Place	To dream that you are running in the wilderness suggests that you are feeling uninhibited and free.											
wildflower	Plant	To see wildflowers in your dream indicate that you need less complications in your life.											
will	Unknown	To dream that you are making or writing a will indicates that you are looking ahead to the future.	To dream that something is left for you in a will represents characteristics or qualities that you can learn or adopt from your descendents.	To dream that a will is being read suggests that you are ready to reap the benefits of your hard work.									
willow	Machine	To see a willow tree in your dream symbolizes mourning and sadness.											
win	Event	To dream that you win at something indicates that you will succeed in some task.											
wind	Action	"To dream that the wind is blowing symbolizes your life force, energy, and vigor."											
wind_chime	Unknown	To see or hear wind chimes in your dream symbolize harmony and tranquility.											
windmill	Machine	To see a windmill in your dream symbolizes the power of the mind.											
window	Structure	"To see a window in your dream signifies bright hopes, vast possibilities and insight."	"To dream that you are looking out the window signifies your outlook on life, your consciousness and your point of view."	To see a shattered or broken window in your dream represents your distorted view and skewed outlook on life.	To dream that you are fixing or replacing a broken window indicates that you are reassessing your view and outlook on life.	To see a tinted window in your dream represents your need for privacy.	To dream that you are entering or exiting through a window suggests that you are involved in some secretive or underhanded activity.	To hear a knock on a window means that you will have many good opportunities ahead for you.					
window_shopping	Unknown	To dream that you are window shopping suggests that you are being excluded from life's luxuries.											
window_washer	Person	To see a window washer in your dream represents your ability to clarify a situation and shed some perspective on an issue.											
windshield	Unknown	To look through the windshield in your dream represents what is ahead of you and the choices you make.	To dream that your windshield is fogged up suggests that you are not really expressing how you really feel.	To dream that your windshield is dirty indicates that you are confused or unclear about where you are headed in life.									
windshield_wiper	Tool	To see or turn on the windshield wipers in your dream suggests that you are looking for a better perspective on something.											
windsock	Unknown	To see a windsock in your dream suggests that you need to focus your energy toward more productive pursuits.											
wine	Food	"To dream of drinking wine symbolizes festivity, celebration, companionship, satisfaction and success."	To dream that you are breaking wine bottles signify overindulgence in your desires and passion.	To see broken wine bottles in your dream implies that you are celebrating too song.									
wine_cellar	Structure	To dream that you are in a wine cellar represents all of your past experiences - both positive and negative.											
wine_glass	Unknown	To see a wine glass in your dream represents happiness.											
wine_rack	Unknown	To see a wine rack in your dream indicates that you are welcoming new changes.											
winery	Structure	To dream that you are at a winery represents your desires to enjoy all that life has to offer.											
wing	Body_Part	To dream that you have wings suggest new found freedom.	"To dream that you have the wings of an angel indicate your sweet, angelic quality."	To see the wings of birds in your dream indicates your desire for a freer way of life.									
wingsuit	Unknown	To see or wear a wingsuit in your dream represents your lofty aspirations and carefree attitude.											
winter	Unknown	"To dream of winter signifies ill-health, depression, and misfortune."											
wisdom_tooth	Body_Part	To dream about your wisdom teeth indicates new or emerging knowledge.											
wise	Person	To dream that you are wise represents your potential and ability to succeed and be successful.											
wish	Event	To dream that you are making a wish indicates that there is something that you are longing for and missing in your life.											
wishbone	Body_Part	"To see a wishbone in your dream indicates family togetherness, celebration and hope."											
witch	Person	To see a witch in your dream represents evil and destruction.											
witchcraft	Unknown	To dream about witchcraft signifies some inner transformation or changes.											
witness	Person	To witness to something in your dream represents your need to be more observant.	To dream that you are testifying as a witness indicates that you need to be accountable for your actions.										
wizard	Person	To see a wizard in your dream suggests that you are trying to hone your skills and exercise your power.											
woke	Unknown	To awaken in your dream represents a spiritual rebirth.	To dream that you awaken someone up suggests that you are acknowledging core aspects of that person within your own self.										
wolf	Animal	"To see a wolf in your dream symbolizes survival, beauty, solitude, mystery, self-confidence and pride."	To see a white wolf in your dream signifies valor and victory.	To dream that you kill a wolf indicates betrayal.	To hear a wolf howling in your dream represents a cry for help from somebody in your waking life.	To dream that you are a wolf signifies your desires to be left alone.	To dream that a wolf turns into a puppy refers to your nurturing character.						
wolverine	Animal	"To see a wolverine in your dream symbolizes great strength, fierceness and might."	To dream that you are Wolverine from the X-Men refers to your animalistic nature and power.										
woman	Person	"To see a woman in your dream represents nurturance, passivity, caring nature, and love."	To see an old woman in your dream indicates your concerns about aging and growing old.										
womb	Body_Part	To dream that you are still in the womb suggests that you are regressing into a period of time when you were safe and completely dependent.	"To see the womb in your dream represents creation, childbirth, fertility and new beginnings The dream is also symbolic of fresh new ideas."										
wombat	Animal	To see a wombat in your dream suggests that you need to stay more grounded.											
wonder_woman	Person	"To see Wonder Woman in you dream refers to a strong, powerful and/or confident woman in your life."											
wood	Musical_Instrument	To dream of wood suggests that you are feeling dead and emotionless inside.	To dream that you are carving or shaping a piece of wood indicates a power-giving act or creative gesture.										
wood_paneling	Unknown	To see wood paneling in your dream symbolizes your outdated surroundings and thinking.											
wood_pile	Unknown	"To see a wood pile in your dream represents warmth, labor and diligence."											
woodchuck	Animal	To see a woodchuck in your dream represents subconscious material that is coming to the surface.											
wooden_leg	Tool	To dream that you have a stick leg or a wooden leg suggests that balance has been restored in your once chaotic or hectic life.											
wooden_shoe	Unknown	To see a wooden shoe in your dream signifies solitude and unfaithfulness.											
woodpecker	Bird	To see a woodpecker in your dream indicates that there is something in you waking life which you have overlooked.											
wood	Musical_Instrument	"To see the woods in your dream represent life, fertility, rejuvenation, and spring."	To dream that you are walking through the woods signify your return to an aspect of yourself that is innocent and spiritual.	To dream that you are lost in the woods indicates that you are starting a new phase in your life.	To dream that the woods are dry or dying suggests that there is a situation in your life that has not yet been resolved.								
word	Event	To see random words in your dream signify some confusion in your thought process.											
work	Activity	To dream that you are at work indicates that you are experiencing some anxiety about a current project or task.	To dream that you are at your former work suggests that there is an old lesson that you need to learn and apply to your current situation.	To dream that you have been replaced at work represents your concern about your current job security.									
workshop	Activity	To see a workshop in you dream represents the development of your skills.											
world	Animal	To dream that it is the end of the world suggests that you are under a tremendous level of stress.	To dream that you are saving the world signifies confidence in your abilities and belief in yourself.										
world_trade_center	Building	To see the World Trade Center in your dream implies that some situation or relationship is collapsing around you.											
worm	Invertebrate	"To see a worm in your dream represents weakness, degradation, filth and general negativity."	To dream that the worm is crawling on your body indicates that you feel someone around you is taking advantage of you and feeding off your kind heartedness.										
worry	Unknown	To dream that you are worried about something is a reflection of waking worry that has carried over to your dream state.											
wrapping	Unknown	To dream that you are wrapping something indicates that you are trying to hide the truth you are involved in a cover-up.											
wreath	Unknown	"To see a wreath in your dream symbolizes honor, celebration, continuity or completeness."	To give a wreath to someone signifies the bond you have with that person.										
wreck	Conveyance	To see a wreck in your dream represents obstacles and barriers toward your goals.											
wren	Bird	To see a wren in your dream symbolizes good luck.											
wrench	Tool	To see or use a wrench in your dream indicates your desire to fix a situation or relationship.											
wrestling	Activity	To dream that you are wrestling suggests that you are grappling with a problem in your personal or professional life.											
wrinkle	Unknown	To see a wrinkle in your dream represents your feelings of getting older or wiser.											
wrist	Body_Part	To notice your wrist in your dream represents your ability to combine fun and excitement with productivity at the same time.	To see an injured or bandaged wrist in your dream indicates a loss in productivity.	To dream that you cut your wrist means that you are feeling withdrawn.									
writing	Activity	To dream that you are writing signifies communication with someone or with your conscious mind.											
wrong	Activity	To dream that you are wrong about something indicates that you are doubting yourself in the choices and decisions that you are making.											
x	Letter	To see an X in your dream signify something that is forbidden.	To dream of a treasure map marked by a big X indicates that your goals are in sight and you will soon be greatly rewarded.										
x-ray	Unknown	To dream that you have x-ray vision suggests that you need to look pass the surface and focus on what is inside.											
xylophone	Musical_Instrument	To see or play a xylophone in your dream indicates concerns for the environment.											
y	Letter	To see the letter Y in your dream indicates some decision that you need to make.											
yacht	Conveyance	"To see a yacht in your dream symbolizes wealth, pleasure, and luxury."											
yak	Animal	To see a yak in your dream represents your uniqueness and dependability.											
yantra	Unknown	To see a yantra in your dream represents cosmic energy and emerging consciousness.											
yard	Tool	"To see a neat and well-kept yard reflects your ability to maintain and organize aspects of your outside life, such as work and your social activities."	To see a messy and unkempt yard denotes that aspects of your life are out of your control.										
yard_sale	Unknown	To hold or be at a yard sale in your dream indicates that you are recycling past experiences and finding use for your old skills and ideas.											
yardstick	Tool	To see a yardstick in your dream.											
yarmulke	Unknown	To see or wear a yarmulke in your dream symbolizes Judaism and the Jewish faith.											
yarn	Event	To see yarn in your dream symbolizes your connection and creativity.											
yawning	Unknown	To dream that you or someone is yawning suggests that you are lacking emotional and intellectual stimulation.											
year	Unknown	To dream of a year signifies a passage of time.											
yearbook	Unknown	To see your yearbook in your dream represents the old friends or old flames that you have lost touch with over the years.											
yeast	Plant	To see yeast in your dream indicates a spiritual quest.											
yelling	Unknown	To dream that you or someone is yelling represents repressed anger that needs to be expressed.											
yellow_bird	Unknown	To see a yellow bird in your dream represents a positive outlook in your professional life.											
yesterday	Unknown	To dream about yesterday indicates that you need to stop reliving the past and learn to let go.											
yeti	Unknown	"To see a yeti in your dream suggests that you need to learn to find balance between your reasonable, rational side and your emotional, instinctual nature."											
yew_tree	Unknown	To see a yew tree in your dream symbolizes mourning and death.											
yield	Event	To dream that you yield to someone else refers to your willingness to sacrifice your authority in order to maintain calmness in your domestic life or personal relationship.	To see a yield sign in your dream suggests that you need to be more flexible in your thinking.										
yin_yang	Unknown	To see the yin yang in your dream symbolizes a balance of opposites.											
ymca	Unknown	To see or dream that you are at the YMCA indicates that you are feeling spiritually and physically empowered.											
yodel	Unknown	To yodel in your dream represents the connection between your mind and your heart.											
yoga	Activity	"To dream that you are performing yoga symbolizes unity, balance, harmony, calmness, and self-discipline."											
yogurt	Food	To see or eat yogurt in your dream suggests that you need to learn to behave appropriately for the different situations and various circumstances you find yourself in.											
yoke	Tool	To see a yoke in your dream signifies your unwillingness to conform to the customs and wishes of others.											
yolk	Food	"To see an egg yolk in your dream represents life, ideas, and creativity."											
young	Animal	To see young people in your dream indicates a fresh outlook on your life.	To dream that you are young again indicates that you are behaving childish or immaturely.										
yourself	Unknown	To see yourself in your dream is a reflection of how you act and behave in your waking life.											
youtube	Unknown	To dream that you are watching YouTube signifies subconscious thoughts and ideas that are flowing in your mind.											
yoyo	Unknown	To see or play with a yoyo in you dream signifies the ups and downs of your life.											
yucca	Plant	To see a yucca plant in your dream indicates that you need to think outside the box or outside of convention.											
zamboni	Machine	To see a Zamboni in your dream implies that you are closing yourself off to new ideas and opinions.											
zebra	Animal	"To see a zebra in your dream represents perfect balance, unity and harmony."	To dream that a zebra is running implies that you are trying to escape from a dangerous relationship or situation.										
zen	Substance	To dream of being Zen symbolizes your quest for spiritual balance and harmony.											
zenith	Place	To dream of staring up into the zenith symbolizes your potential.	To dream that you have reached the zenith of your profession indicates you are in a dead-end job.										
zeppelin	Conveyance	To see a dirigible in your dream symbolizes your ambition and the determination to achieve your goals.											
zeus	Unknown	To see or dream that you are Zeus suggests that you have total control over your life.											
zinc	Substance	To see zinc in your dream suggests that your professional or educational pursuits will go through a process of positive renewal and energetic progress.	To taste zinc in your dream is your subconscious telling you that you are lacking in an essential vitamin or mineral.										
zinnias	Unknown	"To see zinnias in your dream symbolize laughter, friendships, and joy."											
zip_code	Unknown	To see a zip code in your dream represents your identity and your sense of being grounded.											
zipper	Tool	To see a zipper in your dream implies sexuality and sexual innuendos.	To see a broken or stuck zipper in your dream refers to your difficulties in expressing your sexual desires or feelings.										
zither	Musical_Instrument	To see or hear a zither in your dream suggests that you are seeking the truth.											
zodiac	Place	To see the zodiac in your dream represents the various aspects of your conscious being and how you connect to the universe.											
zombie	Food	To see or dream that you are a zombie suggests that you are physically and/or emotionally detached from people and situations that are currently surrounding you.	To see someone as a zombie implies that your feelings for them is dead.										
zoo	Unknown	To dream that you are at a zoo symbolizes loss of freedom.	To dream that animals escape from the zoo implies that your hidden desires can no longer be contained and must be acknowledged or expressed.										
zookeeper	Unknown	To see a zookeeper in your dream suggests that you are on the verge of losing control over some aspect of your life.											
abode	Structure	"To see your home in your dream signifies security, basic needs, and values."											
abominable_snowman	Unknown	"To see a yeti in your dream suggests that you need to learn to find balance between your reasonable, rational side and your emotional, instinctual nature."											
adieu	Unknown	"To dream that you are saying goodbye to someone indicates an end to your worries, to a relationship or and to a chapter in your life."	To dream that someone is saying goodbye to you suggests that you are going on a journey of self-discovery.										
advisor	Person	To see or dream that you are a counselor or dream that you are one suggests that you are seeking for some support and direction in your life.											
architecture	Activity	To see a building in your dream represents the self and the body.	To see a building in ruins or damaged indicates that your approach toward a situation or relationship is all wrong.	To dream that a building collapses indicates that you are losing sight of your ambitions and goals.	To dream that you or someone fall off a building suggests that you are descending into the realm of subconscious.	To dream that you are scaling or climbing a building indicates that you are getting carried away by your ambitions.							
asphalt	Substance	To see concrete in your dream represents your solid and clear understanding of some situation.	To see wet concrete in your dream suggests that some issue or some aspect of your life still remains unresolved.										
automobile	Conveyance	"To dream that you are driving a car denotes your ambition, your drive and your ability to navigate from one stage of your life to another."	To dream that you drive your car into a body of water or that it rolls into water implies that you are in for an emotional journey.										
avenue	Activity	To see a street in your dream symbolizes your life's path.											
background	Tool	To dream of various landscapes in your dream represent where you are in your life or in your relationships.											
baloney	Unknown	To eat bologna in your dream indicates financial insecurities.											
barber	Person	To dream that you are a hairdresser suggests that you are imposing your ideas and opinions on others.	To dream that you are at the hairdresser implies that you are looking to change your attitude.										
barricade	Structure	To see a barrier in your dream represents an obstacle to your emotional growth.											
beauty_contest	Unknown	To watch or dream that you are in a beauty pageant refers to your own insecurities about your appearances.											
beeper	Tool	To see a pager in your dream suggests that someone is trying hard to communicate their thoughts to you.											
belch	Action	To dream that you burp indicates that your subconscious is informing you that you are going through some changes.	To hear a burp in your dream signifies a breakthrough in your personal struggles.										
belly_button	Unknown	To see your navel in your dream represents your being and self.	To dream that you or someone has a navel piercing denotes your deep connection with your mother.										
birth_control	Activity	To see or use contraceptive in your dream suggests that you are refusing to let your creativity emerge from beneath the surface.											
blackboard	Unknown	To see a chalkboard in your dream represents the classroom and the difficulties you may have experienced in school.	To dream that you are writing on the chalkboard indicates you will need to get your hands dirty in some situation.										
body_piercing	Unknown	To dream that you or someone has a navel piercing denotes your deep connection with your mother.	To dream that you or someone has a nose piercing implies that you need to pay closer attention to some issue.										
bog	Unknown	To see a swamp in your dream symbolizes the repressed and dark aspects of yourself.	To dream that you are walking through a swampy area foretells that you will find yourself in an adverse situation.										
brain_surgery	Activity	To see or dream that you have a lobotomy indicates that you are either trying to get to your subconscious and access its insights or you are trying to suppress it and erase it from your consciousness.											
bravery	Unknown	To dream that you have great courage indicates that you are willing to confront rejected aspects of your subconscious head on.											
brook	Unknown	To see a stream in your dream represents a flow of fresh and profound ideas.	To see a frozen stream in your dream indicates that your emotions are cold and hardened.										
buggy	Conveyance	To see an old-fashioned carriage in your dream suggests that your ways of thinking may be too outdated and antiquated.											
"bulls_are_also_symbolic_of_repressed_sexual_energies,_fertility_and_virility._to_see_an_untamed_raging_bull_represents_that_your_passions_may_be_out_of_control._the_bull_may_also_represent_a_person_in_your_life_who_is_born_under_the_taurus_sign."	Unknown	To see a steer in your dream refers to sexual contact or masculine energy.											
bullhorn	Tool	To dream that you are using a megaphone indicates that you need to be more vocal and expressive about your feelings.											
camcorder	Unknown	To dream that you are using a video camera suggests that you need to be more objective in your decisions.	To dream that someone is using a video camera indicates that you are reflecting back on your past and old memories.										
capital_punishment	Event	To dream that you are given the death penalty means that you need to reevaluate your life and the decisions that you are making.											
cash	Person	To see or win money in your dream indicates that success and prosperity is within your reach.	"To dream that you lose money suggests that you are lacking ambition, power and self-esteem."	To give or spend money in your dream is analogous to giving love.	To dream that you have no money indicates a fear of losing your place in the world.	To dream that you steal money forewarns that you are in danger.							
chapel	Activity	To see the outside of the church in your dream signifies sacredness and spiritual nourishment.	To dream that you are inside a church suggests that you are seeking for spiritual enlightenment and guidance.										
climate	Unknown	To dream about the weather signifies your emotional state of mind.	To dream that the weather is ever-changing signify the passage of time.	To dream that you are reading the weather report means that you are about to make some major move.									
cola	Food	To drink soda in your dream indicates that you need to be more bubbly or vivacious.											
collision	Event	"To dream that you are in a car crash indicates that your beliefs, lifestyle, or goals are clashing with another's."	To wake up before you crash in your dream may simply be the anticipation of the crash that jolts you awake.										
cop	Person	"To see the police in your dream symbolizes structure, rules, power, authority and control."	To dream that you are arrested by the police suggests that you feel sexually or emotionally restrained because of guilt.	To dream that you are a police officer represents your own sense of morality and conscience.	To dream that you are having difficulties contacting the police suggests that you have yet to acknowledge your own authoritativeness in a situation.	To dream that you are pulled over by the police suggests that you need to slow down and take things down a notch.							
cormorant	Bird	To see a loon in your dream suggests that you have the ability to dig deep and bring up subconscious wisdom.											
cosmetic	Unknown	To dream that you are applying makeup suggests that you are trying to cover up or conceal an aspect of yourself.	To dream that you are wearing too much makeup indicates that you are putting too much emphasis on beauty and outside appearances rather than what is inside.										
cripple	Person	To dream that you or someone is handicap symbolizes your own weakness and neediness.											
cussing	Unknown	To dream that you are swearing suggests that you need to stop allowing others to harass you.											
cutlass	Weapon	To see or use a machete in your dream represents extreme hostility toward some situation or someone.											
dad	Person	To see your father in your dream symbolizes authority and protection.	To dream that your father is dead forewarns that you need to proceed with caution in conducting some business matter.	To see your father wrapped in bandages from head to toe suggests that you are feeling restricted or limited with your authority.	To dream that you are hitting your father represents a desperate need for greater closeness with your father.	To dream that your father is angry at you indicates that you are doing something that he may disapprove.	"To dream that your father has a girlfriend or mistress, even though he is still married to your mother implies that you are feeling disconnected with one of your parents."						
diary	Unknown	To write or read a journal in your dream suggests that you are trying to change or rewrite the past in order to suit your own needs.	To dream that someone is reading your journal indicates that there is a secret you are keeping.										
dishonesty	Activity	To dream that someone is calling you a liar denotes that you will be irked by some deceitful person.	To dream that someone is a liar indicates your growing distrust for that person.										
distance	Place	To see something or someone far away in your dream suggests that you are feeling emotionally distant from that person or what that something means to you.											
drift	Place	"To dream that you are floating on air indicates satisfaction, contentment and acceptance of some situation."	To dream that you are floating in water suggests that you have a handle on your emotions.										
exhausted	Unknown	To dream that you are tired suggests that you are feeling emotionally drained and stressed.											
expressway	Place	To dream that you are on a freeway indicates that you are feeling liberated and free.	To dream that the freeway is under construction or is being reconstructed implies that you are experiencing a setback toward accomplishing your goals.										
fellatio	Unknown	To dream that you are giving or receiving oral sex signifies your willingness to give or receive pleasure/joy.	To dream that you are performing oral sex on yourself represents your need for self-gratification.										
female	Animal	"To see a woman in your dream represents nurturance, passivity, caring nature, and love."	To see an old woman in your dream indicates your concerns about aging and growing old.										
feminine_napkin	Unknown	To see a maxi pad in your dream indicates that you need to release some pent up anger or tension.											
flask	Unknown	To see or use a thermos in your dream suggests that you are trying to keep a certain feeling or hope alive.											
flying_saucer	Unknown	To see an UFO in your dream signifies your desires to find your spiritual purpose in life.											
foliage	Unknown	"To see plants in your dream indicate fertility, spiritual development, potential, and growth."											
followed	Unknown	To dream that someone or something is in pursuit of you indicates that you are refusing to acknowledge a certain viewpoint or idea.	To dream that you are in pursuit of someone or something suggests that you are being denied of your power and influence.										
g-string	Unknown	To see or wear a thong in your dream represents satisfaction with your body image and your sexuality.											
gelatin	Food	To see or eat jelly in your dream represents insight into a situation you have been wondering about.											
grocery_cart	Unknown	To see or use a shopping cart in your dream indicates that you are reaping the rewards and benefits of your hard work.											
grocery_store	Structure	To dream that you are in a market represents some emotional or physical need that you are currently lacking in your life.	To see an barren market in your dream signifies depression and gloominess.										
guy	Tool	"To see a man in your dream denotes the aspect of yourself that is assertive, rational, aggressive, and/or competitive."											
handbag	Unknown	"To see or carry a purse in your dream represents secrets, desires and thoughts which are being closely held and guarded."	To dream that you lost your purse denotes loss of power and control.	To see an empty purse represents feelings of insecurity or vulnerability.	To dream that someone gives your a new purse implies that some fortune or good luck will come your way.								
hemp	Plant	To dream that you are using marijuana implies that you are trying to escape reality.	To see or smell marijuana in your dream suggests that you are experiencing an expanded sense of awareness and consciousness.										
homicide	Action	To dream that you have committed a murder indicates that you are putting an end to an old habit and a former way of thinking.	To dream that you witness a murder indicates deep-seated anger towards somebody.										
hooker	Person	To dream that you are a prostitute indicates your desires for more sexual freedom/expression and sexual power.	To see or dream that you are with a prostitute suggests that you are feeling sexually deprived or needy.										
humidicrib	Unknown	To see an incubator in your dream suggests that you need some stability and calmness in your life.	To dream that you are in an incubator indicates that you have been acting prematurely.										
humor	Substance	To hear laughing or dream that you are laughing suggests that you need to lighten up and let go of your problems.	"To hear evil, demonic laughing in your dream represents feelings of humiliation and/or helplessness."										
implement	Tool	"To see or use tools in your dream represent your self-expression, skills and abilities."											
intercourse	Event	To dream about sex refers to the integration and merging of contrasting aspects of yourself.	To dream about sex with someone other than your spouse or significant other suggests dissatisfaction with the physical side of your relationship.	To dream that you are having sex with an ex or someone who is not your current mate denotes your reservations about embarking in a new relationship or situation.	To dream that you are having sex with a stranger represents uncertainty about what is ahead.	To dream that you are having sex with a friend refers to the closeness you share with your friend.							
