Final Action	Number of Stories	Closing Action
for/abbots	3	"If the best abbots are chaste abbots then how will B stack up?, If the best abbots are pious abbots then how will B stack up?, If the best abbots are humble abbots then how will B stack up?"	
for/slave_drivers	3	"If the best slave drivers are reluctant slave drivers then how will B stack up?, If the best slave drivers are well-meaning slave-drivers then how will B stack up?, If the best slave drivers are hardworking slave-drivers then how will B stack up?"	
for/slavers	1	If the best slavers are kind-hearted slavers then how will B stack up?	
for/taskmasters	3	"If the best taskmasters are tough-but-fair taskmasters then how will B stack up?, If the best taskmasters are stern-but-fair taskmasters then how will B stack up?, If the best taskmasters are unapologetic taskmasters then how will B stack up?"	
of/unbelievers	2	"If the best unbelievers are weak-willed unbelievers then how will B stack up?, If the best unbelievers are open-minded unbelievers then how will B stack up?"	
with/spin_doctors	2	"If the best spin doctors are media-savvy spin doctors then how will B stack up?, If the best spin doctors are well-connected spin doctors then how will B stack up?"	
against/creditors	3	"If the best creditors are well-heeled creditors then how will B stack up?, If the best creditors are risk-savvy creditors then how will B stack up?, If the best creditors are creditors with short memories then how will B stack up?"	
with/parishioners	2	"If the best parishioners are god-fearing parishioners then how will B stack up?, If the best parishioners are devout parishioners then how will B stack up?"	
to/clients	6	"The best clients are rich clients and the worst are tight-fisted complainers. Which is B most like?, The best clients are rich clients and the worst are pro-bono clients with no money. Which is B most like?, The best clients are generous clients and the worst are tight-fisted complainers. Which is B most like?, The best clients are generous clients and the worst are pro-bono clients with no money. Which is B most like?, The best clients are easily-pleased clients and the worst are tight-fisted complainers. Which is B most like?, The best clients are easily-pleased clients and the worst are pro-bono clients with no money. Which is B most like?"	
for/investors	2	"If the best investors are investors with deep pockets then how will B stack up?, If the best investors are long-term investors then how will B stack up?"	
for/sergeants	1	If the best sergeants are encouraging sergeants then how will B stack up?	
with/editorial_assistants	2	"If the best editorial assistants are literate editoral assistants then how will B stack up?, If the best editorial assistants are helpful editorial assistants then how will B stack up?"	
on/natives	4	"The best natives are primitive savages and the worst are natives that can fight back. Which is B most like?, The best natives are superstitious natives and the worst are natives that can fight back. Which is B most like?, The best natives are pre-industrial natives and the worst are natives that can fight back. Which is B most like?, The best natives are easily-cowed natives and the worst are natives that can fight back. Which is B most like?"	
from/killers	1	If the best killers are ruthless killers then how will B stack up?	
for/judges	2	"If the best judges are impartial judges then how will B stack up?, If the best judges are fair-minded judges then how will B stack up?"	
for/trainers	3	"If the best trainers are inspirational trainers then how will B stack up?, If the best trainers are experienced trainers then how will B stack up?, If the best trainers are encouraging trainers then how will B stack up?"	
with/mentors	10	"The best mentors are insightful mentors and the worst are thy preachy in-laws. Which is B most like?, The best mentors are insightful mentors and the worst are pervy old men. Which is B most like?, The best mentors are experienced mentors and the worst are thy preachy in-laws. Which is B most like?, The best mentors are experienced mentors and the worst are pervy old men. Which is B most like?, The best mentors are knowledgeable mentors and the worst are thy preachy in-laws. Which is B most like?, The best mentors are knowledgeable mentors and the worst are pervy old men. Which is B most like?, The best mentors are practical mentors and the worst are thy preachy in-laws. Which is B most like?, The best mentors are practical mentors and the worst are pervy old men. Which is B most like?, The best mentors are mentors with small egos and the worst are thy preachy in-laws. Which is B most like?, The best mentors are mentors with small egos and the worst are pervy old men. Which is B most like?"	
for/teachers	3	"If the best teachers are well-educated teachers then how will B stack up?, If the best teachers are inspiring teachers then how will B stack up?, If the best teachers are hard-marking teachers then how will B stack up?"	
with/classmates	1	If the best classmates are supportive classmates then how will B stack up?	
for/foremen	2	"If the best foremen are tough-but-fair foremen then how will B stack up?, If the best foremen are honest foremen then how will B stack up?"	
with/spotters	1	If the best spotters are eagle-eyed spotters then how will B stack up?	
for/fire_chiefs	2	"If the best fire chiefs are encouraging fire chiefs then how will B stack up?, If the best fire chiefs are supportive fire chiefs then how will B stack up?"	
with/stage_assistants	2	"If the best stage assistants are well-trained stage assistants then how will B stack up?, If the best stage assistants are hard-working stage assistants then how will B stack up?"	
with/costars	1	If the best costars are lower-billed co-stars then how will B stack up?	
with/evaluators	2	"If the best evaluators are detail-oriented evaluators then how will B stack up?, If the best evaluators are fair-minded evaluators then how will B stack up?"	
with/professors	6	"The best professors are professors in tweeds and the worst are the teachers of atheist science. Which is B most like?, The best professors are professors in tweeds and the worst are evolution-spouting scientists. Which is B most like?, The best professors are professors from good schools and the worst are the teachers of atheist science. Which is B most like?, The best professors are professors from good schools and the worst are evolution-spouting scientists. Which is B most like?, The best professors are well-published professors and the worst are the teachers of atheist science. Which is B most like?, The best professors are well-published professors and the worst are evolution-spouting scientists. Which is B most like?"	
into/patients	3	"The best patients are grateful patients and the worst are patients looking for assisted suicides. Which is B most like?, The best patients are well-heeled patients and the worst are patients looking for assisted suicides. Which is B most like?, The best patients are high-society patients and the worst are patients looking for assisted suicides. Which is B most like?"	
to/monarchs	4	"The best monarchs are good-natured monarchs and the worst are monarches that worship foreign gods. Which is B most like?, The best monarchs are generous monarchs and the worst are monarches that worship foreign gods. Which is B most like?, The best monarchs are soft-hearted monarchs and the worst are monarches that worship foreign gods. Which is B most like?, The best monarchs are big-hearted monarchs and the worst are monarches that worship foreign gods. Which is B most like?"	
of/invaders	3	"If the best invaders are unwelcome invaders then how will B stack up?, If the best invaders are unwanted invaders then how will B stack up?, If the best invaders are overconfident invaders then how will B stack up?"	
on/defendants	4	"If the best defendants are innocent defendants then how will B stack up?, If the best defendants are defendants with good alibis then how will B stack up?, If the best defendants are defendants with deep pockets then how will B stack up?, If the best defendants are high-profile defendants then how will B stack up?"	
for/choreographers	2	"The best choreographers are choreographers that can dance and the worst are the choreographers of sin. Which is B most like?, The best choreographers are skinny choreographers and the worst are the choreographers of sin. Which is B most like?"	
with/dance_partners	2	"If the best dance partners are committed dance partners then how will B stack up?, If the best dance partners are supportive dance partners then how will B stack up?"	
on/prey	3	"The best prey are challenging prey and the worst are prey that can bite back. Which is B most like?, The best prey are noble beasts and the worst are prey that can bite back. Which is B most like?, The best prey are big game and the worst are prey that can bite back. Which is B most like?"	
to/believers	6	"The best believers are true believers and the worst are the worshippers of false gods. Which is B most like?, The best believers are true believers and the worst are those who pray to false gods. Which is B most like?, The best believers are true believers of the cause and the worst are the worshippers of false gods. Which is B most like?, The best believers are true believers of the cause and the worst are those who pray to false gods. Which is B most like?, The best believers are zealous believers and the worst are the worshippers of false gods. Which is B most like?, The best believers are zealous believers and the worst are those who pray to false gods. Which is B most like?"	
to/patients	3	"The best patients are grateful patients and the worst are patients looking for assisted suicides. Which is B most like?, The best patients are well-heeled patients and the worst are patients looking for assisted suicides. Which is B most like?, The best patients are high-society patients and the worst are patients looking for assisted suicides. Which is B most like?"	
about/casualties	1	The best casualties are undeserving casualties and the worst are the casualties of unholy wars. Which is B most like?	
for/passengers	2	"The best passengers are well-heeled passengers and the worst are whiny passengers that don't tip. Which is B most like?, The best passengers are passengers that tip big and the worst are whiny passengers that don't tip. Which is B most like?"	
for/supporters	6	"The best supporters are loyal supporters and the worst are supporters with empty pockets. Which is B most like?, The best supporters are loyal supporters and the worst are supporters with long memories. Which is B most like?, The best supporters are enthusiastic supporters and the worst are supporters with empty pockets. Which is B most like?, The best supporters are enthusiastic supporters and the worst are supporters with long memories. Which is B most like?, The best supporters are easily-pleased supporters and the worst are supporters with empty pockets. Which is B most like?, The best supporters are easily-pleased supporters and the worst are supporters with long memories. Which is B most like?"	
about/saints	3	"The best saints are much-loved saints and the worst are saints with feet of clay. Which is B most like?, The best saints are high-profile saints and the worst are saints with feet of clay. Which is B most like?, The best saints are saints deserving of veneration and the worst are saints with feet of clay. Which is B most like?"	
for/supervillains	3	"If the best supervillains are high-powered supervillains then how will B stack up?, If the best supervillains are formidable supervillains then how will B stack up?, If the best supervillains are credible supervillains then how will B stack up?"	
with/navigators	2	"If the best navigators are qualified navigators then how will B stack up?, If the best navigators are quick-witted navigators then how will B stack up?"	
of/puppets	1	If the best puppets are obedient puppets then how will B stack up?	
for/leaders	3	"If the best leaders are respected leaders then how will B stack up?, If the best leaders are charismatic leaders then how will B stack up?, If the best leaders are inspirational leaders then how will B stack up?"	
for/demagogues	2	"If the best demagogues are fire-bellied demagogues then how will B stack up?, If the best demagogues are crowd-pleasing demagogues then how will B stack up?"	
on/civilians	10	"The best civilians are crass tourists and the worst are unarmed civilians. Which is B most like?, The best civilians are crass tourists and the worst are god-fearing civilians. Which is B most like?, The best civilians are homeless people and the worst are unarmed civilians. Which is B most like?, The best civilians are homeless people and the worst are god-fearing civilians. Which is B most like?, The best civilians are people without a support base and the worst are unarmed civilians. Which is B most like?, The best civilians are people without a support base and the worst are god-fearing civilians. Which is B most like?, The best civilians are distant foreigners and the worst are unarmed civilians. Which is B most like?, The best civilians are distant foreigners and the worst are god-fearing civilians. Which is B most like?, The best civilians are decadent fools and the worst are unarmed civilians. Which is B most like?, The best civilians are decadent fools and the worst are god-fearing civilians. Which is B most like?"	
with/gurus	14	"The best gurus are profound gurus and the worst are the prophets of false gods. Which is B most like?, The best gurus are profound gurus and the worst are Hollywood gurus. Which is B most like?, The best gurus are gurus with insight and the worst are the prophets of false gods. Which is B most like?, The best gurus are gurus with insight and the worst are Hollywood gurus. Which is B most like?, The best gurus are knowledgeable gurus and the worst are the prophets of false gods. Which is B most like?, The best gurus are knowledgeable gurus and the worst are Hollywood gurus. Which is B most like?, The best gurus are gurus with small egos and the worst are the prophets of false gods. Which is B most like?, The best gurus are gurus with small egos and the worst are Hollywood gurus. Which is B most like?, The best gurus are kindly gurus and the worst are the prophets of false gods. Which is B most like?, The best gurus are kindly gurus and the worst are Hollywood gurus. Which is B most like?, The best gurus are gurus with catchy mantras and the worst are the prophets of false gods. Which is B most like?, The best gurus are gurus with catchy mantras and the worst are Hollywood gurus. Which is B most like?, The best gurus are A-list gurus and the worst are the prophets of false gods. Which is B most like?, The best gurus are A-list gurus and the worst are Hollywood gurus. Which is B most like?"	
with/devotees	4	"If the best devotees are ardent devotees then how will B stack up?, If the best devotees are humble devotees then how will B stack up?, If the best devotees are selfless devotees then how will B stack up?, If the best devotees are unquestioning devotees then how will B stack up?"	
to/children	1	If the best children are deserving children then how will B stack up?	
to/parishioners	2	"If the best parishioners are god-fearing parishioners then how will B stack up?, If the best parishioners are devout parishioners then how will B stack up?"	
for/casualties	1	The best casualties are undeserving casualties and the worst are the casualties of unholy wars. Which is B most like?	
for/saints	3	"The best saints are much-loved saints and the worst are saints with feet of clay. Which is B most like?, The best saints are high-profile saints and the worst are saints with feet of clay. Which is B most like?, The best saints are saints deserving of veneration and the worst are saints with feet of clay. Which is B most like?"	
of/natives	4	"The best natives are primitive savages and the worst are natives that can fight back. Which is B most like?, The best natives are superstitious natives and the worst are natives that can fight back. Which is B most like?, The best natives are pre-industrial natives and the worst are natives that can fight back. Which is B most like?, The best natives are easily-cowed natives and the worst are natives that can fight back. Which is B most like?"	
to/listeners	1	If the best listeners are attentive listeners then how will B stack up?	
for/rabble_rousers	2	"If the best rabble rousers are fire-bellied rabble rousers then how will B stack up?, If the best rabble rousers are crowd-pleasing rabble rousers then how will B stack up?"	
of/fugitives	1	If the best fugitives are fugitives with large rewards then how will B stack up?	
for/funders	3	"If the best funders are funders with deep pockets then how will B stack up?, If the best funders are hands-off funders then how will B stack up?, If the best funders are funders of visionary work then how will B stack up?"	
with/editors	2	"The best editors are editors that show restraint and the worst are scissor-happy editors. Which is B most like?, The best editors are understanding editors and the worst are scissor-happy editors. Which is B most like?"	
on/initiates	2	"If the best initiates are eager initiates then how will B stack up?, If the best initiates are willing initiates then how will B stack up?"	
for/abbesses	3	"If the best abbesses are chaste abbesses then how will B stack up?, If the best abbesses are pious abbesses then how will B stack up?, If the best abbesses are humble abbesses then how will B stack up?"	
with/medical_students	3	"If the best medical students are well-motivated medical students then how will B stack up?, If the best medical students are hard-working medical students then how will B stack up?, If the best medical students are eager-to-learn medical students then how will B stack up?"	
with/masters	4	"The best masters are masters with deep pockets and the worst are thy grubby capitalist overlords. Which is B most like?, The best masters are masters with deep pockets and the worst are those who pay the wages of sin. Which is B most like?, The best masters are generous masters and the worst are thy grubby capitalist overlords. Which is B most like?, The best masters are generous masters and the worst are those who pay the wages of sin. Which is B most like?"	
with/students	3	"The best students are well-read students and the worst are thy students that study on the sabbath. Which is B most like?, The best students are open-minded students and the worst are thy students that study on the sabbath. Which is B most like?, The best students are eager young students and the worst are thy students that study on the sabbath. Which is B most like?"	
to/benefactors	3	"If the best benefactors are generous benefactors then how will B stack up?, If the best benefactors are benefactors with open check books then how will B stack up?, If the best benefactors are benefactors with deep pockets then how will B stack up?"	
with/caddies	1	If the best caddies are knowledgeable caddies then how will B stack up?	
to/batsmen	1	If the best batsmen are hard-swinging batsmen then how will B stack up?	
to/hosts	4	"If the best hosts are welcoming hosts then how will B stack up?, If the best hosts are gracious hosts then how will B stack up?, If the best hosts are unthreatening hosts then how will B stack up?, If the best hosts are hosts with open arms then how will B stack up?"	
for/personal_trainers	2	"If the best personal trainers are personal trainers that get results then how will B stack up?, If the best personal trainers are personal trainers with good references then how will B stack up?"	
to/saints	3	"The best saints are much-loved saints and the worst are saints with feet of clay. Which is B most like?, The best saints are high-profile saints and the worst are saints with feet of clay. Which is B most like?, The best saints are saints deserving of veneration and the worst are saints with feet of clay. Which is B most like?"	
from/voters	2	"The best voters are complacent voters and the worst are ungrateful voters. Which is B most like?, The best voters are easily-distracted voters and the worst are ungrateful voters. Which is B most like?"	
from/benefactors	3	"If the best benefactors are generous benefactors then how will B stack up?, If the best benefactors are benefactors with open check books then how will B stack up?, If the best benefactors are benefactors with deep pockets then how will B stack up?"	
with/employers	6	"The best employers are employers with healthcare and the worst are employers that support Obamacare. Which is B most like?, The best employers are employers with healthcare and the worst are employers that support Planned Parenthood. Which is B most like?, The best employers are generous employers and the worst are employers that support Obamacare. Which is B most like?, The best employers are generous employers and the worst are employers that support Planned Parenthood. Which is B most like?, The best employers are employers with generous 401k plans and the worst are employers that support Obamacare. Which is B most like?, The best employers are employers with generous 401k plans and the worst are employers that support Planned Parenthood. Which is B most like?"	
from/sellers	4	"If the best sellers are trustworthy sellers then how will B stack up?, If the best sellers are motivated sellers then how will B stack up?, If the best sellers are sellers in a hurry then how will B stack up?, If the best sellers are reputable sellers then how will B stack up?"	
from/victims	143	"The best victims are universally-despised victims and the worst are poor wretched fools. Which is B most like?, The best victims are universally-despised victims and the worst are cute puppies. Which is B most like?, The best victims are universally-despised victims and the worst are cute kittens. Which is B most like?, The best victims are universally-despised victims and the worst are lost puppies. Which is B most like?, The best victims are universally-despised victims and the worst are cute kids and animals. Which is B most like?, The best victims are universally-despised victims and the worst are eloquent martyrs. Which is B most like?, The best victims are universally-despised victims and the worst are loudmouth atheists. Which is B most like?, The best victims are universally-despised victims and the worst are in-your-face atheists. Which is B most like?, The best victims are universally-despised victims and the worst are masochists who love pain. Which is B most like?, The best victims are universally-despised victims and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are universally-despised victims and the worst are high-profile church elders. Which is B most like?, The best victims are truly unpopular people and the worst are poor wretched fools. Which is B most like?, The best victims are truly unpopular people and the worst are cute puppies. Which is B most like?, The best victims are truly unpopular people and the worst are cute kittens. Which is B most like?, The best victims are truly unpopular people and the worst are lost puppies. Which is B most like?, The best victims are truly unpopular people and the worst are cute kids and animals. Which is B most like?, The best victims are truly unpopular people and the worst are eloquent martyrs. Which is B most like?, The best victims are truly unpopular people and the worst are loudmouth atheists. Which is B most like?, The best victims are truly unpopular people and the worst are in-your-face atheists. Which is B most like?, The best victims are truly unpopular people and the worst are masochists who love pain. Which is B most like?, The best victims are truly unpopular people and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are truly unpopular people and the worst are high-profile church elders. Which is B most like?, The best victims are filthy beasts and the worst are poor wretched fools. Which is B most like?, The best victims are filthy beasts and the worst are cute puppies. Which is B most like?, The best victims are filthy beasts and the worst are cute kittens. Which is B most like?, The best victims are filthy beasts and the worst are lost puppies. Which is B most like?, The best victims are filthy beasts and the worst are cute kids and animals. Which is B most like?, The best victims are filthy beasts and the worst are eloquent martyrs. Which is B most like?, The best victims are filthy beasts and the worst are loudmouth atheists. Which is B most like?, The best victims are filthy beasts and the worst are in-your-face atheists. Which is B most like?, The best victims are filthy beasts and the worst are masochists who love pain. Which is B most like?, The best victims are filthy beasts and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are filthy beasts and the worst are high-profile church elders. Which is B most like?, The best victims are French tourists and the worst are poor wretched fools. Which is B most like?, The best victims are French tourists and the worst are cute puppies. Which is B most like?, The best victims are French tourists and the worst are cute kittens. Which is B most like?, The best victims are French tourists and the worst are lost puppies. Which is B most like?, The best victims are French tourists and the worst are cute kids and animals. Which is B most like?, The best victims are French tourists and the worst are eloquent martyrs. Which is B most like?, The best victims are French tourists and the worst are loudmouth atheists. Which is B most like?, The best victims are French tourists and the worst are in-your-face atheists. Which is B most like?, The best victims are French tourists and the worst are masochists who love pain. Which is B most like?, The best victims are French tourists and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are French tourists and the worst are high-profile church elders. Which is B most like?, The best victims are crass Americans and the worst are poor wretched fools. Which is B most like?, The best victims are crass Americans and the worst are cute puppies. Which is B most like?, The best victims are crass Americans and the worst are cute kittens. Which is B most like?, The best victims are crass Americans and the worst are lost puppies. Which is B most like?, The best victims are crass Americans and the worst are cute kids and animals. Which is B most like?, The best victims are crass Americans and the worst are eloquent martyrs. Which is B most like?, The best victims are crass Americans and the worst are loudmouth atheists. Which is B most like?, The best victims are crass Americans and the worst are in-your-face atheists. Which is B most like?, The best victims are crass Americans and the worst are masochists who love pain. Which is B most like?, The best victims are crass Americans and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are crass Americans and the worst are high-profile church elders. Which is B most like?, The best victims are dull Germans and the worst are poor wretched fools. Which is B most like?, The best victims are dull Germans and the worst are cute puppies. Which is B most like?, The best victims are dull Germans and the worst are cute kittens. Which is B most like?, The best victims are dull Germans and the worst are lost puppies. Which is B most like?, The best victims are dull Germans and the worst are cute kids and animals. Which is B most like?, The best victims are dull Germans and the worst are eloquent martyrs. Which is B most like?, The best victims are dull Germans and the worst are loudmouth atheists. Which is B most like?, The best victims are dull Germans and the worst are in-your-face atheists. Which is B most like?, The best victims are dull Germans and the worst are masochists who love pain. Which is B most like?, The best victims are dull Germans and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are dull Germans and the worst are high-profile church elders. Which is B most like?, The best victims are homeless people and the worst are poor wretched fools. Which is B most like?, The best victims are homeless people and the worst are cute puppies. Which is B most like?, The best victims are homeless people and the worst are cute kittens. Which is B most like?, The best victims are homeless people and the worst are lost puppies. Which is B most like?, The best victims are homeless people and the worst are cute kids and animals. Which is B most like?, The best victims are homeless people and the worst are eloquent martyrs. Which is B most like?, The best victims are homeless people and the worst are loudmouth atheists. Which is B most like?, The best victims are homeless people and the worst are in-your-face atheists. Which is B most like?, The best victims are homeless people and the worst are masochists who love pain. Which is B most like?, The best victims are homeless people and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are homeless people and the worst are high-profile church elders. Which is B most like?, The best victims are unpopular politicians and the worst are poor wretched fools. Which is B most like?, The best victims are unpopular politicians and the worst are cute puppies. Which is B most like?, The best victims are unpopular politicians and the worst are cute kittens. Which is B most like?, The best victims are unpopular politicians and the worst are lost puppies. Which is B most like?, The best victims are unpopular politicians and the worst are cute kids and animals. Which is B most like?, The best victims are unpopular politicians and the worst are eloquent martyrs. Which is B most like?, The best victims are unpopular politicians and the worst are loudmouth atheists. Which is B most like?, The best victims are unpopular politicians and the worst are in-your-face atheists. Which is B most like?, The best victims are unpopular politicians and the worst are masochists who love pain. Which is B most like?, The best victims are unpopular politicians and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are unpopular politicians and the worst are high-profile church elders. Which is B most like?, The best victims are villainous scum and the worst are poor wretched fools. Which is B most like?, The best victims are villainous scum and the worst are cute puppies. Which is B most like?, The best victims are villainous scum and the worst are cute kittens. Which is B most like?, The best victims are villainous scum and the worst are lost puppies. Which is B most like?, The best victims are villainous scum and the worst are cute kids and animals. Which is B most like?, The best victims are villainous scum and the worst are eloquent martyrs. Which is B most like?, The best victims are villainous scum and the worst are loudmouth atheists. Which is B most like?, The best victims are villainous scum and the worst are in-your-face atheists. Which is B most like?, The best victims are villainous scum and the worst are masochists who love pain. Which is B most like?, The best victims are villainous scum and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are villainous scum and the worst are high-profile church elders. Which is B most like?, The best victims are obvious villains and the worst are poor wretched fools. Which is B most like?, The best victims are obvious villains and the worst are cute puppies. Which is B most like?, The best victims are obvious villains and the worst are cute kittens. Which is B most like?, The best victims are obvious villains and the worst are lost puppies. Which is B most like?, The best victims are obvious villains and the worst are cute kids and animals. Which is B most like?, The best victims are obvious villains and the worst are eloquent martyrs. Which is B most like?, The best victims are obvious villains and the worst are loudmouth atheists. Which is B most like?, The best victims are obvious villains and the worst are in-your-face atheists. Which is B most like?, The best victims are obvious villains and the worst are masochists who love pain. Which is B most like?, The best victims are obvious villains and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are obvious villains and the worst are high-profile church elders. Which is B most like?, The best victims are unsympathetic victims and the worst are poor wretched fools. Which is B most like?, The best victims are unsympathetic victims and the worst are cute puppies. Which is B most like?, The best victims are unsympathetic victims and the worst are cute kittens. Which is B most like?, The best victims are unsympathetic victims and the worst are lost puppies. Which is B most like?, The best victims are unsympathetic victims and the worst are cute kids and animals. Which is B most like?, The best victims are unsympathetic victims and the worst are eloquent martyrs. Which is B most like?, The best victims are unsympathetic victims and the worst are loudmouth atheists. Which is B most like?, The best victims are unsympathetic victims and the worst are in-your-face atheists. Which is B most like?, The best victims are unsympathetic victims and the worst are masochists who love pain. Which is B most like?, The best victims are unsympathetic victims and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are unsympathetic victims and the worst are high-profile church elders. Which is B most like?, The best victims are easy-to-hate people and the worst are poor wretched fools. Which is B most like?, The best victims are easy-to-hate people and the worst are cute puppies. Which is B most like?, The best victims are easy-to-hate people and the worst are cute kittens. Which is B most like?, The best victims are easy-to-hate people and the worst are lost puppies. Which is B most like?, The best victims are easy-to-hate people and the worst are cute kids and animals. Which is B most like?, The best victims are easy-to-hate people and the worst are eloquent martyrs. Which is B most like?, The best victims are easy-to-hate people and the worst are loudmouth atheists. Which is B most like?, The best victims are easy-to-hate people and the worst are in-your-face atheists. Which is B most like?, The best victims are easy-to-hate people and the worst are masochists who love pain. Which is B most like?, The best victims are easy-to-hate people and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are easy-to-hate people and the worst are high-profile church elders. Which is B most like?, The best victims are has-been celebrities and the worst are poor wretched fools. Which is B most like?, The best victims are has-been celebrities and the worst are cute puppies. Which is B most like?, The best victims are has-been celebrities and the worst are cute kittens. Which is B most like?, The best victims are has-been celebrities and the worst are lost puppies. Which is B most like?, The best victims are has-been celebrities and the worst are cute kids and animals. Which is B most like?, The best victims are has-been celebrities and the worst are eloquent martyrs. Which is B most like?, The best victims are has-been celebrities and the worst are loudmouth atheists. Which is B most like?, The best victims are has-been celebrities and the worst are in-your-face atheists. Which is B most like?, The best victims are has-been celebrities and the worst are masochists who love pain. Which is B most like?, The best victims are has-been celebrities and the worst are masochists with martyr-complexes. Which is B most like?, The best victims are has-been celebrities and the worst are high-profile church elders. Which is B most like?"	
from/selectors	2	"If the best selectors are supportive selectors then how will B stack up?, If the best selectors are experienced selectors then how will B stack up?"	
from/teachers	3	"If the best teachers are well-educated teachers then how will B stack up?, If the best teachers are inspiring teachers then how will B stack up?, If the best teachers are hard-marking teachers then how will B stack up?"	
from/clients	6	"The best clients are rich clients and the worst are tight-fisted complainers. Which is B most like?, The best clients are rich clients and the worst are pro-bono clients with no money. Which is B most like?, The best clients are generous clients and the worst are tight-fisted complainers. Which is B most like?, The best clients are generous clients and the worst are pro-bono clients with no money. Which is B most like?, The best clients are easily-pleased clients and the worst are tight-fisted complainers. Which is B most like?, The best clients are easily-pleased clients and the worst are pro-bono clients with no money. Which is B most like?"	
from/suspects	8	"The best suspects are obvious suspects and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are obvious suspects and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are the usual suspects and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are the usual suspects and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are real lowlifes and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are real lowlifes and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are suspects without lawyers and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are suspects without lawyers and the worst are thy Arab-looking neighbours. Which is B most like?"	
from/witnesses	3	"The best witnesses are witnesses with good memories and the worst are neighbours that bear false witness. Which is B most like?, The best witnesses are reliable witnesses and the worst are neighbours that bear false witness. Which is B most like?, The best witnesses are witnesses with good eyesight and the worst are neighbours that bear false witness. Which is B most like?"	
for/detectives	1	If the best detectives are detail-oriented detectives then how will B stack up?	
from/defendants	4	"If the best defendants are innocent defendants then how will B stack up?, If the best defendants are defendants with good alibis then how will B stack up?, If the best defendants are defendants with deep pockets then how will B stack up?, If the best defendants are high-profile defendants then how will B stack up?"	
for/prosecutors	3	"If the best prosecutors are fearless prosecutors then how will B stack up?, If the best prosecutors are fair-minded prosecutors then how will B stack up?, If the best prosecutors are audacious prosecutors then how will B stack up?"	
with/doctors	2	"If the best doctors are doctors with warm hands then how will B stack up?, If the best doctors are doctors with legible handwriting then how will B stack up?"	
from/CEOs	16	"The best CEOs are complacent CEOs and the worst are the self-appointed lords of Mammon. Which is B most like?, The best CEOs are complacent CEOs and the worst are the high-kings of Mammon. Which is B most like?, The best CEOs are complacent CEOs and the worst are psychopaths in sharp suits. Which is B most like?, The best CEOs are complacent CEOs and the worst are boorish billionaires. Which is B most like?, The best CEOs are easily-manipulated CEOs and the worst are the self-appointed lords of Mammon. Which is B most like?, The best CEOs are easily-manipulated CEOs and the worst are the high-kings of Mammon. Which is B most like?, The best CEOs are easily-manipulated CEOs and the worst are psychopaths in sharp suits. Which is B most like?, The best CEOs are easily-manipulated CEOs and the worst are boorish billionaires. Which is B most like?, The best CEOs are photogenic CEOs and the worst are the self-appointed lords of Mammon. Which is B most like?, The best CEOs are photogenic CEOs and the worst are the high-kings of Mammon. Which is B most like?, The best CEOs are photogenic CEOs and the worst are psychopaths in sharp suits. Which is B most like?, The best CEOs are photogenic CEOs and the worst are boorish billionaires. Which is B most like?, The best CEOs are alpha-male CEOs and the worst are the self-appointed lords of Mammon. Which is B most like?, The best CEOs are alpha-male CEOs and the worst are the high-kings of Mammon. Which is B most like?, The best CEOs are alpha-male CEOs and the worst are psychopaths in sharp suits. Which is B most like?, The best CEOs are alpha-male CEOs and the worst are boorish billionaires. Which is B most like?"	
from/backers	5	"If the best backers are well-heeled backers then how will B stack up?, If the best backers are backers with more money than sense then how will B stack up?, If the best backers are backers with open wallets then how will B stack up?, If the best backers are backers with deep bank accounts then how will B stack up?, If the best backers are hands-off backers then how will B stack up?"	
with/strangers	2	"If the best strangers are handsome strangers then how will B stack up?, If the best strangers are unassuming strangers then how will B stack up?"	
from/experts	3	"The best experts are world-renowned experts and the worst are self-appointed experts. Which is B most like?, The best experts are the foremost experts and the worst are self-appointed experts. Which is B most like?, The best experts are undisputed experts and the worst are self-appointed experts. Which is B most like?"	
about/targets	4	"The best targets are unpopular targets and the worst are well-connected people with expensive lawyers. Which is B most like?, The best targets are unpopular targets and the worst are much-loved celebrities. Which is B most like?, The best targets are foreign-sounding targets and the worst are well-connected people with expensive lawyers. Which is B most like?, The best targets are foreign-sounding targets and the worst are much-loved celebrities. Which is B most like?"	
